YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1971,-5.72,-1.97,1.73,6.50,12.53,19.93,22.38,22.21,19.20,14.41,4.96,1.37,-3.47,6.92,21.51,12.86,9.45
1972,-0.52,-2.47,1.53,6.40,13.53,17.93,22.58,21.11,17.90,10.01,4.46,-0.44,-0.54,7.15,20.54,10.79,9.49
1973,-1.43,-2.28,5.42,9.09,13.22,20.42,22.87,23.00,17.19,12.10,6.45,3.15,-1.38,9.24,22.10,11.91,10.47
1974,-1.34,-2.79,2.81,9.68,11.91,17.51,21.76,21.39,16.78,9.09,5.57,1.57,-0.33,8.13,20.22,10.48,9.63
1975,-0.12,-1.67,1.23,5.90,15.13,18.43,23.18,21.31,16.30,12.51,9.16,-0.33,-0.07,7.42,20.97,12.66,10.24
1976,-5.02,1.13,3.63,11.40,14.43,21.73,21.48,20.81,16.90,9.71,3.66,-3.34,-1.41,9.82,21.34,10.09,9.96
1977,-6.53,-2.48,5.62,9.29,15.72,18.42,22.57,21.60,16.59,11.30,7.05,-0.45,-4.12,10.21,20.86,11.65,9.65
1978,-3.64,-4.49,0.81,7.88,14.43,19.43,21.58,21.11,15.40,10.31,5.06,0.66,-2.86,7.71,20.71,10.26,8.95
1979,-0.93,-6.18,4.82,8.39,15.42,19.32,22.87,21.20,17.39,10.40,7.85,1.46,-2.15,9.54,21.13,11.88,10.10
1980,-2.63,-3.58,1.72,8.39,14.42,18.32,23.57,22.50,18.49,10.20,3.75,-3.05,-1.58,8.18,21.46,10.81,9.72
1981,-7.14,1.11,2.91,9.98,15.01,20.71,22.96,21.39,16.68,9.59,5.24,-0.46,-3.03,9.30,21.69,10.50,9.62
1982,-6.35,-2.00,2.70,8.07,13.50,16.60,23.05,20.38,16.87,11.18,7.33,3.03,-2.94,8.09,20.01,11.79,9.24
1983,-1.66,-0.91,3.79,8.56,13.79,20.69,24.84,22.17,20.46,12.05,6.70,-0.79,0.15,8.71,22.57,13.07,11.13
1984,-3.88,2.07,-0.83,7.14,13.87,20.87,23.22,23.05,16.04,10.95,5.90,3.30,-0.87,6.73,22.38,10.96,9.80
