YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1967,2.87,-1.67,2.97,9.66,12.78,22.56,23.97,23.16,19.18,13.88,5.71,3.31,1.05,8.47,23.23,12.92,11.42
1968,-3.04,-1.85,6.15,12.65,15.21,20.84,25.06,24.34,21.33,15.73,8.17,1.14,-0.53,11.34,23.41,15.08,12.32
1969,-0.21,0.23,4.36,13.19,18.34,22.70,23.64,25.11,20.41,14.15,7.86,0.64,0.39,11.96,23.82,14.14,12.58
1970,-3.93,0.43,3.59,11.04,17.68,21.47,24.95,25.23,21.44,14.84,9.03,1.20,-0.95,10.77,23.88,15.10,12.20
1971,-2.93,1.59,4.38,10.29,16.17,23.32,25.32,24.27,21.85,16.91,7.17,4.74,-0.05,10.28,24.30,15.31,12.46
1972,1.57,-0.43,4.18,9.95,17.24,20.03,25.21,24.35,20.98,12.07,6.99,3.74,1.96,10.46,23.20,13.35,12.24
1973,2.07,0.39,8.11,11.98,15.38,23.11,25.32,25.47,20.96,15.78,9.18,4.00,2.07,11.82,24.63,15.31,13.46
1974,1.89,-0.05,5.70,12.97,16.19,20.68,25.21,24.77,19.37,12.39,9.13,4.19,1.95,11.62,23.55,13.63,12.69
1975,3.06,2.22,4.62,8.93,18.89,21.49,24.46,23.65,17.97,15.21,11.40,2.24,3.16,10.81,23.20,14.86,13.01
1976,-2.49,4.47,7.00,12.88,15.77,22.96,23.89,23.62,19.33,11.69,5.47,-1.06,1.41,11.88,23.49,12.16,12.24
1977,-5.42,0.90,8.28,12.14,18.44,21.30,26.20,24.37,20.18,12.83,8.59,2.10,-1.86,12.95,23.96,13.87,12.23
1978,-2.15,-2.59,3.97,10.96,16.46,21.88,23.59,24.53,18.38,12.80,8.84,3.89,-0.88,10.46,23.33,13.34,11.56
1979,0.95,-3.54,8.34,11.52,18.58,20.75,25.02,24.95,21.48,14.16,11.50,5.11,0.43,12.81,23.57,15.71,13.13
1980,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1981,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1982,-3.52,1.61,5.25,10.43,17.58,20.07,25.26,22.59,19.92,14.50,9.95,5.71,-0.24,11.09,22.64,14.79,12.07
1983,1.13,2.20,6.39,11.02,15.37,22.73,26.14,25.15,21.83,14.10,9.09,1.49,3.01,10.93,24.67,15.01,13.40
1984,-1.45,4.53,2.33,10.78,16.21,23.33,23.44,24.53,18.58,16.27,8.20,6.24,1.52,9.77,23.77,14.35,12.35
1985,-2.04,2.28,7.38,12.79,18.20,20.06,24.27,23.84,21.09,14.98,9.75,0.96,2.16,12.79,22.72,15.27,13.24
1986,0.90,-0.31,6.99,12.21,18.62,21.69,24.18,22.56,19.63,14.16,7.34,3.61,0.52,12.61,22.81,13.71,12.41
1987,-0.13,0.38,7.01,11.60,17.26,22.40,25.23,23.15,19.56,11.82,8.45,3.89,1.29,11.96,23.59,13.28,12.53
1988,-1.69,1.34,6.14,10.34,16.72,21.82,26.00,25.70,19.39,11.22,9.36,1.87,1.18,11.07,24.51,13.32,12.52
1989,2.69,1.10,5.47,10.90,16.41,21.94,23.54,23.02,19.75,14.23,7.30,-3.72,1.89,10.93,22.83,13.76,12.35
1990,4.89,3.98,6.96,11.62,15.37,21.98,24.56,23.73,19.42,16.29,9.89,5.56,1.72,11.32,23.42,15.20,12.91
1991,1.28,4.09,6.69,12.83,20.07,23.05,25.08,24.74,19.38,14.35,8.73,3.89,3.64,13.20,24.29,14.15,13.82
1992,1.75,2.11,4.12,9.96,15.80,20.92,23.11,22.40,19.24,12.19,7.74,2.93,2.58,9.96,22.14,13.06,11.94
1993,2.09,-1.01,3.92,11.49,18.37,22.59,26.41,24.78,19.27,12.97,9.01,2.62,1.34,11.26,24.59,13.75,12.73
1994,-3.92,-1.12,4.47,12.79,16.20,23.65,25.98,22.98,19.46,14.10,10.74,5.30,-0.81,11.15,24.20,14.77,12.33
1995,2.73,-0.58,6.87,10.72,16.26,21.78,25.85,25.52,19.80,16.11,6.10,-0.13,2.48,11.28,24.38,14.00,13.04
1996,-1.17,0.68,3.50,11.41,16.33,22.06,23.13,23.76,20.16,13.71,6.26,5.32,-0.21,10.41,22.98,13.38,11.64
1997,0.25,4.61,5.64,11.10,15.35,21.77,24.45,23.11,19.58,13.91,7.10,3.62,3.39,10.70,23.11,13.53,12.68
1998,4.60,4.95,7.59,12.36,18.11,20.79,24.85,24.96,21.40,14.34,9.10,6.35,4.39,12.69,23.53,14.95,13.89
1999,1.21,3.95,6.00,12.10,17.40,23.02,27.58,24.33,20.73,13.51,10.58,4.55,3.84,11.83,24.98,14.94,13.90
2000,-0.25,3.08,8.57,10.70,17.66,21.97,22.54,22.60,19.01,14.01,7.51,-0.36,2.46,12.31,22.37,13.51,12.66
2001,1.04,2.30,4.38,12.31,17.68,22.88,22.99,26.07,19.94,14.85,11.63,6.85,0.99,11.46,23.98,15.47,12.98
2002,4.57,4.92,6.90,13.55,16.08,22.07,26.14,25.55,21.40,13.04,7.94,2.40,5.45,12.18,24.59,14.13,14.08
2003,-2.33,-0.89,6.34,10.06,15.00,20.36,24.47,25.00,20.12,13.02,10.18,3.29,-0.27,10.47,23.28,14.44,11.98
2004,-3.86,1.87,6.60,12.16,18.62,21.98,23.79,23.64,20.92,13.50,9.16,3.72,0.43,12.46,23.14,14.53,12.64
2005,-0.19,2.70,4.33,13.04,15.14,23.53,25.49,26.66,23.13,14.57,9.97,2.02,2.08,10.84,25.23,15.89,13.51
2006,5.14,2.28,6.36,13.36,17.48,21.87,25.73,24.52,19.41,13.68,11.27,6.67,3.15,12.40,24.04,14.79,13.59
