YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2005,-2.51,-0.40,1.55,9.96,11.88,20.96,23.51,24.70,20.16,12.91,7.70,0.20,-0.53,7.80,23.06,13.59,10.98
2006,2.90,-0.17,3.89,10.28,14.77,20.36,24.56,22.59,17.65,12.12,9.56,4.81,0.98,9.65,22.50,13.11,11.56
2007,1.17,-2.75,3.40,8.20,15.99,20.16,23.21,22.90,19.72,15.32,5.96,0.40,1.08,9.20,22.09,13.67,11.51
2008,0.71,0.51,4.18,10.77,14.25,21.81,24.68,21.21,18.54,11.24,5.91,1.84,0.54,9.73,22.57,11.90,11.18
2009,-4.32,0.51,3.16,9.93,14.82,18.02,21.31,23.28,17.24,11.12,9.41,0.52,-0.66,9.30,20.87,12.59,10.53
2010,-1.61,0.56,7.34,12.12,17.08,21.61,25.26,23.02,19.94,13.15,7.06,-0.49,-0.18,12.18,23.30,13.38,12.17
2011,-3.23,-1.28,3.78,10.01,15.21,19.66,24.50,22.89,19.79,12.95,9.04,3.96,-1.67,9.67,22.35,13.93,11.07
2012,1.13,2.32,7.93,10.76,16.39,19.16,24.07,23.17,17.83,13.44,5.55,3.52,2.47,11.69,22.13,12.27,12.14
2013,-0.38,-0.57,3.59,9.46,15.56,20.81,25.77,21.62,17.47,12.77,5.45,0.78,0.86,9.54,22.73,11.90,11.26
2014,-2.85,-1.92,1.14,9.17,15.06,19.86,23.41,21.38,18.94,13.40,5.51,3.29,-1.33,8.46,21.55,12.62,10.32
2015,-3.17,-7.48,0.44,9.41,17.17,19.10,23.65,23.80,20.60,12.05,8.75,7.80,-2.45,9.01,22.18,13.80,10.63
2016,0.15,1.05,6.60,8.75,15.25,20.50,24.45,24.50,20.15,13.20,8.00,1.65,3.00,10.20,23.15,13.78,12.53
2017,1.55,2.05,1.80,11.40,14.50,20.40,22.60,22.15,20.05,16.20,6.70,-0.45,1.75,9.23,21.72,14.32,11.75
2018,-1.60,4.20,3.75,7.65,17.15,19.80,24.25,24.95,19.80,11.70,5.20,2.15,0.72,9.52,23.00,12.23,11.37
2019,-1.55,0.25,2.70,10.35,14.25,20.00,24.75,22.95,18.80,13.15,4.70,1.55,0.28,9.10,22.57,12.22,11.04
2020,2.20,2.37,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,2.04,999.90,999.90,999.90,999.90
